trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.8, 'e': 0.9056017320794529}",30,17,-65.38036613572032,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
74,False,"{'a': 0.8, 'e': 0.903040671899395}",20,0,-80.7325410164577,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
75,False,"{'a': 0.8, 'e': 0.9004471023526769}",30,0,-227.60910734806396,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
76,False,"{'a': 0.8, 'e': 0.8978211168075223}",25,6,-52.847403981374114,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.8, 'e': 0.8951628097991272}",25,0,-33.45749185520037,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
78,False,"{'a': 0.8, 'e': 0.8924722770262568}",20,0,-53.393412516907574,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
79,False,"{'a': 0.8, 'e': 0.8897496153478003}",30,0,-87.5743306312848,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 0.8, 'e': 0.8869949227792842}",20,0,-93.54819868773087,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.8, 'e': 0.8842082984893433}",20,0,-133.62128187495878,"{0: 14, 1: 0, 2: 1, 3: 3, 4: 2}",0
82,False,"{'a': 0.8, 'e': 0.8813898427961513}",20,0,-76.84902636167334,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
83,False,"{'a': 0.8, 'e': 0.8785396571638084}",20,0,-105.73336638833038,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
84,False,"{'a': 0.8, 'e': 0.87565784419869}",25,0,-72.36480182904978,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
85,False,"{'a': 0.8, 'e': 0.8727445076457513}",20,11,-3.9676092496000335,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.8697997523847936}",20,0,-68.50516275529891,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
87,False,"{'a': 0.8, 'e': 0.8668236844266883}",20,0,-92.78214531525313,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
88,False,"{'a': 0.8, 'e': 0.8638164109095605}",20,4,-53.59474875177081,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
89,False,"{'a': 0.8, 'e': 0.8607780400949321}",35,0,-97.38470053120297,"{0: 22, 1: 3, 2: 9, 3: 1, 4: 0}",0
90,False,"{'a': 0.8, 'e': 0.8577086813638242}",20,0,-102.29684500608452,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
91,False,"{'a': 0.8, 'e': 0.8546084452128195}",20,8,-33.469950622055244,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.8514774432500848}",25,0,-145.06860349014454,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
93,False,"{'a': 0.8, 'e': 0.8483157881913526}",20,2,1.1665794953782582,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.8451235938558634}",20,0,-81.09929432390794,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
95,False,"{'a': 0.8, 'e': 0.8419009751622687}",20,0,-61.55776513467376,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
96,False,"{'a': 0.8, 'e': 0.8386480481244933}",25,0,-62.05088424115576,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
97,False,"{'a': 0.8, 'e': 0.8353649298475594}",25,13,-83.89648751674194,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
98,False,"{'a': 0.8, 'e': 0.8320517385233703}",25,17,13.547822929760935,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.8, 'e': 0.8287085934264558}",25,8,-126.82460544002718,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 2}",1
100,False,"{'a': 0.8, 'e': 0.8253356149096783}",25,0,-44.77426146821346,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.8, 'e': 0.8219329243999003}",20,0,-85.53878455627793,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.8, 'e': 0.8185006443936125}",25,0,-100.16318508808288,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
103,False,"{'a': 0.8, 'e': 0.8150388984525244}",20,0,-92.9191726783304,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
104,False,"{'a': 0.8, 'e': 0.8115478111991162}",20,0,-40.33876061075631,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
105,False,"{'a': 0.8, 'e': 0.8080275083121519}",25,8,-2.5544426592224765,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.8044781165221552}",25,0,-22.57742841740731,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
107,False,"{'a': 0.8, 'e': 0.8008997636068472}",20,0,-49.29462780486536,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
